"Fast,expected"	"Medium,expected"	"Slow,expected"	"Fast,reg"	"Medium,reg"	"Slow,reg"	"Fast,eq"	"Medium,eq"	"Slow,eq"
"95"	129	129	1290	172,148709567343	67,1411644574096	1985,46773458363	148,084787893603	67,6001814390504	1979,55608662653
"96"	126	126	1260	186,347476289084	9,68608559215681	2028,26515017836	171,672459603722	0	2157,04047832714
"97"	123	123	1230	172,948066435088	29,9379464953881	1993,07444647305	163,305730047858	0	2057,75505825592
"98"	120	120	1200	163,487997291736	71,3143297794795	1824,53635083314	138,715886407797	76,0856072608416	1825,92061671202
"99"	117	117	1170	142,569723623521	26,1699010673988	1971,67039880973	132,105014306943	0	2013,73383049038
"100"	114	114	1140	153,327240466108	23,4183949170119	1953,04327101777	127,782866453964	6,81524674008182	2001,83679923766
"101"	111	111	1110	152,980472341867	28,0707721561453	1769,57958255135	139,370397951371	13,048458699995	1798,04583140604
"102"	108	108	1080	109,475874287052	69,0154019637703	1661,5821194876	91,5973678576958	58,1299304038231	1699,47856596229
"103"	105	105	1050	135,31011275041	31,9811968027216	1752,90914715333	131,499531320254	13,283801539286	1764,24774459295
"104"	102	102	1020	120,739626720731	97,3699110677398	1645,59317941488	118,790339228075	32,0289266137266	1753,11840880938
"105"	99	99	990	162,659294871646	-9,65432506187426	1788,96869702897	144,898282074143	0	1826,36039142805
"106"	97	97	970	116,121484603302	31,6582173286315	1658,37136811827	88,9901719436241	50,7149158092169	1655,21782211888
"107"	95	95	950	134,03124133408	-25,1130876606817	1839,99030829598	127,82102549791	0	1905,5354981633
"108"	93	93	930	100,74469199918	45,5973376527095	1697,42162271235	118,177143724384	0	1825,42466158215
"109"	91	91	910	116,32327707998	83,6484084879839	1552,10122609886	97,6462483503383	77,8123110406274	1579,67488849435
"110"	89	89	890	129,44609200988	-9,87419552215897	1636,76898178828	104,896501944891	6,30322001403336	1630,70248200295
"111"	87	87	870	92,4006306915294	62,2274809251189	1535,60806275668	110,92608157296	0	1623,9167743311
"112"	85	85	850	114,390130776421	24,7746599124048	1632,57742854232	109,11771141958	0	1705,01908743563
"113"	83	83	830	69,1865267395133	90,39723210494	1460,95793001444	108,23455965185	0	1599,78207884732
"114"	81	81	810	114,908112945702	4,07977941285708	1565,28055977938	88,4053695119398	13,1193071757946	1585,89355294135
"115"	79	79	790	73,4960139475106	76,6899264690755	1400,20178635257	96,6911224098845	0	1537,92642490922
"116"	77	77	770	91,2796356821718	23,7491118883759	1446,18658689213	105,610853997471	0	1529,05714108086
"117"	75	75	750	88,2334430407923	44,7567045685787	1511,850423158	90,1709671214746	8,89341995581965	1577,12955663214
"118"	73	73	730	78,4689631182164	95,6371793558378	1321,93211167663	88,8256327654102	54,7991595829875	1362,6794501446
"119"	71	71	710	92,4378651395637	10,100045011709	1486,2591685298	81,2908639905038	0	1543,52368064141
"120"	69	69	690	56,6268217443098	19,7720342729599	1525,30497809139	70,977545885419	0	1620,48778247245
"121"	67	67	670	83,9198036277139	59,4659239311818	1253,91988758465	81,4693716987589	21,9295777710606	1309,24715953738
"122"	65	65	650	77,9033960970742	3,26306911145593	1300,63155125272	97,6729345863652	0	1376,43742431988
"123"	63	63	630	78,9389764268708	2,76086586045722	1352,08060096142	77,8928180734674	0	1401,0801931835
"124"	61	61	610	74,4990201176802	1,539262353308	1260,3591925708	90,3107253995103	0	1321,75452889065
"125"	59	59	590	62,8635473971349	18,1665640077631	1349,72159351868	69,7630253010293	0	1426,40964662728
"126"	57	57	570	51,5560341845912	13,3416068869678	1256,90798359722	38,9162259595225	28,871907894816	1259,59069960292
"127"	55	55	550	61,8944561814942	15,6136209535725	1217,45758961625	100,961360441458	0	1334,88215913848
"128"	53	53	530	77,633386689422	-5,52094435225172	1162,82005781774	77,4682363042262	0	1223,46222695374
"129"	51	51	510	97,594919375008	-65,9805514106392	1251,18659725025	84,1718786724607	0	1254,1604906661
"130"	49	49	490	58,4983283281508	-35,2844095825799	1329,56509202754	48,8062393548524	0	1366,94613780148
"131"	48	48	480	65,7710261144325	-40,8800055439451	1243,94803952939	54,113240840597	0	1256,248731232
"132"	47	47	470	78,6216061373671	-84,5845997919082	1199,40061569383	78,9542401261425	0	1264,25987969887
"133"	46	46	460	61,2375261509283	3,21897473575291	1224,87288623108	44,9287376224315	8,24249737992546	1254,23723075186
"134"	45	45	450	19,3318072046281	20,2281446042525	1056,75144249941	30,6031513691503	0,284861970963898	1077,50331812468
"135"	44	44	440	70,7663330899391	-17,4652855452291	1118,1236443489	64,4581090136256	0	1178,3868759918
"136"	43	43	430	87,8827358505464	-90,7428669977435	1231,59631236058	77,5296617655538	0	1305,35601836689
"137"	42	42	420	49,6170686085702	-26,338826092724	1202,58301766065	62,4816450710208	0	1271,84485307174
"138"	41	41	410	87,9774616532109	-71,4351324784138	1094,48245326115	68,7723837398238	0	1094,34587416772
"139"	40	40	400	41,3208018724595	-25,7189466558543	1087,25218431789	46,7501204659258	0	1119,84326180369
"140"	39	39	390	40,7035178869933	7,76122808467335	1078,23920577117	41,2713099701663	0	1130,05999655127
"141"	38	38	380	20,7222763932555	43,0774310363222	1094,48967011346	37,2570592545742	0	1166,32443955464
"142"	37	37	370	52,0333297960292	-47,4696626748232	1040,85532493826	60,049151922176	0	1119,82489758772
"143"	36	36	360	46,711499892881	-50,8948424820255	1047,73587154231	51,4459540855022	0	1107,38181651842
"144"	35	35	350	49,2237305373465	-29,2094742237828	981,821439286743	48,1907529729131	0	1064,35003005918
"145"	34	34	340	53,4344044116642	-32,5827480339194	1086,70789286893	45,8171315844396	0	1141,48683067635
"146"	33	33	330	38,2032572344679	-24,1742562114064	1022,9835037682	42,9852480903128	0	1084,73142970488
"147"	32	32	320	55,7118159369679	-13,3990335222074	978,121957793347	56,9540688410849	0	1037,25713381962
"148"	31	31	310	55,3045856589551	-47,5755039621117	990,334637730804	58,93424800448	0	1056,63549253699
"149"	30	30	300	57,6981244400577	-19,9680017982041	1037,27747173335	58,2616546769841	0	1072,97766240804
"150"	29	29	290	35,6412733440561	-38,920940707535	990,867721558592	33,2826422574882	0	1022,59828325218
"151"	28	28	280	63,5910219932998	-64,7880679041236	965,881433182154	61,9658779867205	0	1031,37975638051
"152"	27	27	270	67,6080587188596	-55,7943085122781	938,895240582644	41,9718407757611	0	931,226017730371
"153"	26	26	260	41,2019744053657	-22,6428960610951	877,84876941923	34,182611658361	0	948,026326533425
"154"	25	25	250	3,26523660177941	33,9798862592727	912,493108888548	22,2477598288407	0	1008,61554044131
"155"	24	24	240	27,9371804117818	-34,3431735855484	907,098355277777	19,200280962092	0	910,752930187543
"156"	23	23	230	34,2321282463649	-38,4444645081999	939,83127567928	14,7366550863894	0	922,028058934777
"157"	22	22	220	24,9983386537951	-33,6101454401091	882,377199764658	23,0970835590865	0	910,443867441076
"158"	21	21	210	36,6237475389335	-16,1459150235396	872,131383494776	24,8487572906909	0	873,248952976433
"159"	20	20	200	32,6692395753184	-42,0546553917518	871,072217883894	52,6043940337874	0	932,821032543268
"160"	19	19	190	33,3374605037784	-31,9882613913035	908,423277650925	54,9345820226169	0	1024,67670120861
"161"	18	18	180	43,6800234816099	-79,343850494954	922,413671698808	55,1588140087639	0	996,310071337136
"162"	17	17	170	15,6521898352253	-25,9527859950344	855,826606685874	37,0290798862168	0	936,558493173151
"163"	16	16	160	21,9893815856028	-27,7915265637159	737,015750719504	35,5572052041213	0	786,676319096729
"164"	15	15	150	4,62156622737325	-16,5204833906307	800,883600893445	4,65732203068376	0	845,358826252933
"165"	14	14	140	23,9291395507303	-50,3597422570761	854,364554851577	30,358559629541	0	890,030897563517
"166"	13	13	130	13,513534333498	-33,6104707486004	832,217207902002	36,4195866946085	0	951,105156225872
"167"	12	12	120	17,2286271880785	-45,8746270289203	811,633087931424	23,7873030765959	0	864,773026005416
"168"	11	11	110	10,2072188380771	-49,6380031546653	823,351489925942	4,50685443147262	0	828,385818663746
"169"	10	10	100	14,3079434901267	-38,4639582340958	827,684680109629	14,7597738026985	0	853,088705192635
"170"	9	9	90	28,6742825315218	-59,5411786917055	688,064587489869	39,012152804824	0	747,696968428021
"171"	8	8	80	16,2958813397881	-59,2883868406886	795,314584485274	32,2966271048892	0	885,093420589016
"172"	7	7	70	20,9270279999726	-46,8418480302671	745,631318650966	19,6317796001713	0	786,694189522012
"173"	6	6	60	5,74801423763461	-71,074756761833	747,230110380074	6,27042440348448	0	793,692113843117
"174"	5	5	50	22,6425909738145	-74,3572332264227	769,58285425489	19,0719182604284	0	811,875714600498
"175"	4	4	40	8,44214879211563	-48,1524733542017	744,115663275426	12,2599199810296	0	788,520278990826
"176"	3	3	30	16,0749623840184	-71,9573097823888	699,047584966676	29,0661167522241	0	758,190701899516
"177"	2	2	20	2,25270032661456	-40,6614764635708	651,160027094334	17,5146011215873	0	737,912454371353
"178"	1	1	10	5,16791644152136	-51,9141969959651	736,644760668586	15,48367365662	0	763,692099115869
