"Fast,expected"	"Medium,expected"	"Slow,expected"	"Fast,reg"	"Medium,reg"	"Slow,reg"	"Fast,eq"	"Medium,eq"	"Slow,eq"
"45"	395	395	3950	424,089605975335	307,724685150385	4211,71326782113	421,901943773054	344,193119427184	4131,99749108557
"46"	387	387	3870	358,810097441442	381,427812163429	3768,45602436409	363,620052214489	334,585012297244	3840,73906743917
"47"	379	379	3790	343,34602186996	470,729650264613	3686,82965235185	367,179748550225	406,517438800204	3771,94070848028
"48"	371	371	3710	412,457514330026	385,652785679552	3732,18537187135	430,420491948654	402,587782989709	3674,94771380905
"49"	363	363	3630	380,27893646643	235,678965546301	3633,42987447366	345,930252603199	341,394311085487	3506,75342643026
"50"	355	355	3550	329,350603413291	326,952627689006	3699,8639420419	312,825896074881	373,04310697934	3643,52638260147
"51"	347	347	3470	342,827357740843	339,981233483467	3469,42276881059	326,066034492295	377,103044749548	3445,30487229506
"52"	340	340	3400	332,910841237723	411,542805329852	3258,52924361431	327,213903730781	423,555031449403	3249,77611548566
"53"	333	333	3330	314,956796985171	458,024053900852	3086,87064585859	339,703883624982	361,899564914364	3227,8858094044
"54"	326	326	3260	331,880191292433	279,319667327679	3471,77796462952	327,03353297734	313,674056569012	3412,80887182612
"55"	319	319	3190	311,670191266905	296,417313834047	3220,74040151601	316,030068837419	265,98543742158	3288,92414654882
"56"	312	312	3120	336,719196781959	334,66247264627	3004,39592003619	313,11855853727	402,973942541315	2913,88370174757
"57"	305	305	3050	232,995999281297	463,139084374537	2968,2270440138	233,569617438039	482,252383109431	2925,39115814201
"58"	298	298	2980	323,019336243188	288,721246141131	2899,11958331227	340,521804686378	255,315994331504	2930,09579650876
"59"	292	292	2920	284,712579684092	203,777700948006	3080,05304215465	296,254674943051	186,253708593326	3082,48172782082
"60"	286	286	2860	252,974642350473	338,972119143221	2777,55262341805	259,852556662766	324,326972269469	2796,67410084821
"61"	280	280	2800	312,598123443352	255,001295180376	2713,29509260689	298,765961151567	258,117668160543	2721,20256996486
