"A.n"	"A.n.sigma"	"B.n.mean"	"B.n.na"	"B.n.sigma"	"B.n.error.mean"	"C.n.mean"	"C.n.na"	"C.n.sigma"	"C.n.error.mean"
"33"	58	7.61577310586391	58.1394348366989	0	14.6993313782007	12.0162953001182	58.1577279864097	0	14.0854057894119	6.31745831839726
"34"	52	7.21110255092798	48.78904980003	0	13.350442508127	10.984665056442	49.9417769910065	0	14.0336844272593	5.97083174776132
"35"	46	6.78232998312527	45.8749513038636	0	14.0033598921486	10.8686371029477	45.4124890972423	0	14.7915892233633	5.7670196814174
"36"	40	6.32455532033676	41.5622242539012	0	12.9289515765038	10.1550373118863	42.3828764470011	0	13.1267024011358	5.31594460442102
"37"	34	5.8309518948453	34.3730402305552	0	11.3274207628419	8.81975941189783	33.5177413109355	0	11.550679125283	4.83829203023839
"38"	30	5.47722557505166	29.8316568846966	0	11.6637355381946	8.82705309586075	29.5233216901495	0	10.5202471145802	4.62873797380101
"39"	26	5.09901951359278	24.3352246974637	0	10.3373322153495	7.74824062570422	24.7341506480286	0	10.4092735453406	4.23561281387387
"40"	22	4.69041575982343	20.7013593954566	0	8.43327901475978	7.61549478366731	20.8196928604512	0	9.8533261443076	3.97473884620567
"41"	18	4.24264068711928	18.8799440528188	0	8.06808520527673	6.59057845680612	18.7533972103834	1	8.6270601596186	3.51677822074789
"42"	16	4	14.4875483050296	0	8.35260993260402	6.21873304802306	15.3305858037427	0	7.56958892174512	3.32723996121641
"43"	14	3.74165738677394	13.7787651238892	0	7.68647762491721	6.12459663758967	14.6857449383307	0	7.36050512335211	3.13846829359182
"44"	12	3.46410161513775	12.9493652471597	0	6.0658125303278	5.62642520540893	12.3496565006857	0	7.07595257097103	2.92588002145269
"45"	10	3.16227766016838	10.5305649620148	0	5.78316507142775	5.04266966807886	9.83527371054177	0	5.94574326163634	2.67057658862502
"46"	8	2.82842712474619	7.94779245072426	0	4.90189532515815	4.39456165143397	8.00386432648904	0	5.68116807436549	2.36033744046925
"47"	6	2.44948974278318	6.49780250390528	0	4.97754792977604	3.79286635705978	6.06498105983507	0	5.12097355291375	2.05841208891699
"48"	4	2	3.58092731783542	0	4.09234548537677	3.13067598482668	3.59429921380613	0	3.84330003555585	1.68848607401236
