"A.n"	"A.n.sigma"	"B.n.mean"	"B.n.na"	"B.n.sigma"	"B.n.error.mean"	"C.n.mean"	"C.n.na"	"C.n.sigma"	"C.n.error.mean"
"19"	782	27.9642629082191	783.771609262806	0	52.3825134453355	44.4286857170311	783.392738294111	0	55.115955161083	23.5389868868281
"20"	742	27.2396769437525	743.658332704659	0	52.423867714242	43.1452792877283	745.160769517339	0	56.5171329906518	22.9264252723715
"21"	704	26.5329983228432	701.912141032016	0	51.562864759779	41.954501313014	702.010641792245	0	53.9115668557074	22.3726695068228
"22"	668	25.8456959666402	669.063789654671	0	49.6241768495034	41.2353501111537	668.051004320666	0	51.2511631712967	21.6497561860695
"23"	634	25.1793566240283	633.909132563003	0	47.3864942965689	39.9273962767396	635.442599195476	0	50.6847827306729	21.1588493906448
"24"	602	24.5356882927706	600.543390688877	0	46.250994466067	39.0242503123554	601.661256298398	0	48.6195075863228	20.698042353852
"25"	570	23.8746727726266	573.760705824714	0	45.6985327726757	37.3203830773491	573.087402692875	0	47.1742029687002	20.0329516874249
"26"	540	23.2379000772445	538.902097135326	0	44.0799477781338	36.5864166316017	540.629031971118	0	47.034048692375	19.4716009158965
"27"	512	22.6274169979695	511.619077931426	0	44.1391855795839	35.6858980085076	511.454547035561	0	45.9165210375403	18.9580590352431
"28"	486	22.0454076850486	483.885515285037	0	41.6158597879564	34.7024966633205	483.790420515005	0	46.1485342322241	18.4749978774553
"29"	460	21.4476105895272	458.421345887865	0	40.9600112899166	33.6441544043525	458.016725633901	0	41.8304034731926	17.9726770618592
"30"	436	20.8806130178211	437.861172040717	0	39.9171260043509	32.668694993781	438.819616596867	0	42.0591525812542	17.4977087871697
"31"	414	20.3469899493758	414.664354377932	0	39.4454387425374	32.1508816201519	414.98357921803	0	40.7594091407445	17.069348685063
"32"	392	19.7989898732233	391.334358455017	0	36.7007174617434	31.0781731780726	391.312430791406	0	39.1988221665175	16.6281749014196
"33"	372	19.2873015219859	369.693819158551	0	37.167545633939	30.576917050871	371.495794897483	0	41.2463670976435	16.2562108459345
"34"	352	18.7616630392937	352.169885167691	0	36.7782777226375	29.545411131111	350.767043688249	0	39.3528535743039	15.7296154573673
"35"	334	18.2756668824971	334.495846632286	0	34.8122196329596	28.6485254512077	334.705383645423	0	37.1637686377031	15.3349467311196
"36"	316	17.7763888346312	316.19123763165	0	33.2931390259203	28.1239462314559	316.44154621601	0	36.1338311566309	14.9428551574273
"37"	300	17.3205080756888	299.369900004371	0	32.4258858518488	27.413709157009	300.587438461357	0	34.3136152312324	14.5660235919072
"38"	284	16.8522995463527	286.265125053029	0	32.9397911590034	26.8069806301519	284.776618309897	0	34.4080629760201	14.1807830822491
"39"	268	16.3707055437449	268.138702305537	0	29.7612531613885	26.3963252582965	267.04230721932	0	32.3810042719861	13.8350066186423
"40"	254	15.9373774505092	253.117940836342	0	30.3557923038496	25.1828872115789	253.181415752494	0	32.4204970576245	13.3893808198181
"41"	240	15.4919333848297	239.646627407782	0	29.2013672470147	24.3229420852947	240.457805268405	0	31.3282358015577	12.9853201253864
"42"	226	15.0332963783729	225.301650142933	0	28.8926928797432	23.8280630337232	224.69284563493	0	31.1253710682892	12.6262550298355
"43"	214	14.6287388383278	214.697023675394	0	26.9005289308614	23.1431266000731	215.643181330413	0	27.6078771571775	12.2906005993454
"44"	202	14.2126704035519	201.922903332223	0	28.4374774329047	22.643085529511	202.529431219426	0	29.233639534976	11.967261371897
"45"	190	13.7840487520902	189.367167653107	0	25.9626622201082	21.5558587350333	189.412651532172	0	27.2851978844828	11.5255229564091
"46"	180	13.4164078649987	180.239942962636	0	25.6685611368429	21.1093983367114	179.550345367043	0	26.9761212089107	11.2347053350536
"47"	170	13.0384048104053	169.449494049135	0	24.7623893842408	20.8478382442022	169.858188859932	0	26.5819528037745	11.0081313967726
"48"	160	12.6491106406735	159.25552369775	0	23.8807057326026	19.8456281669734	160.512785198241	0	26.1223003693302	10.5789874410947
