"A.n"	"A.n.sigma"	"B.n.mean"	"B.n.na"	"B.n.sigma"	"B.n.error.mean"	"C.n.mean"	"C.n.na"	"C.n.sigma"	"C.n.error.mean"
"27"	256	16	255.364816345378	0	67.5583424232635	63.04106688152	255.703220642886	0	72.1833685336782	45.4332708491668
"28"	243	15.5884572681199	244.150846228614	0	63.1036108908272	61.6028705999534	244.602329434007	0	72.7349993074878	44.2756076329509
"29"	230	15.1657508881031	230.955399589336	0	60.6818383648052	59.7164829563345	232.064852502279	0	66.3812500063992	43.0717882258389
"30"	218	14.7648230602334	216.739472099176	0	60.2316392664132	58.222033253468	214.714199915921	0	67.7425518411852	41.9335197455225
"31"	207	14.3874945699382	207.139705802104	0	57.886323286401	56.7641212634937	206.660649813481	0	63.9867107175165	40.9069483375565
"32"	196	14	195.74854875393	0	56.1582692741071	55.5648657847353	196.365505486159	0	61.6653671806942	39.8496688488231
"33"	186	13.6381816969859	190.049792254226	0	56.6358067622283	54.2766381466753	186.323822662001	0	63.5986586503348	38.9582520213494
"34"	176	13.2664991614216	175.053071098491	0	55.513778097636	52.3219263970627	177.160141165801	0	63.0286326257058	37.6962577035481
"35"	167	12.9228479833201	167.719512638314	0	52.0973263103817	51.1617421736952	167.253893802249	0	57.2248895063963	36.7504281922208
"36"	158	12.5698050899765	157.264878362254	0	52.1765783149779	49.7092167314075	156.792360198099	0	57.3266890928153	35.8107748969514
"37"	150	12.2474487139159	151.306885254502	0	49.5867228143609	48.50612831001	149.508225299562	0	52.376564757589	34.9076925628294
"38"	142	11.916375287813	140.036700073936	0	52.2356781385732	47.249003581806	141.826673395309	0	56.362428090709	33.984457985196
"39"	134	11.5758369027902	133.554934086564	0	47.7243967479911	45.8814278393926	135.997491611773	0	53.7899234952643	33.1557994869961
"40"	127	11.2694276695846	128.436468648817	0	48.1773987009043	44.6708342791277	128.338164280946	0	52.5867409754972	32.0878505082078
"41"	120	10.9544511501033	119.24002442103	0	45.6898988657668	43.2978783395921	117.805525997507	0	51.2996369602893	31.1195130150936
"42"	113	10.6301458127346	112.671974519517	0	43.2759114786446	42.1442703246405	114.098257731031	0	49.7426292668945	30.2590082856653
"43"	107	10.3440804327886	106.581348136831	0	43.8732237854078	40.9068034771007	104.505778607419	0	45.8113014128927	29.4546074329658
"44"	101	10.0498756211209	102.354030670319	0	43.1633285379688	39.9421436178712	100.868571825066	0	45.7801920030267	28.6797201497819
"45"	95	9.74679434480896	96.2206114049608	0	41.0497862527813	38.3954840507485	96.3802590184894	0	42.6622501527335	27.6210873697882
"46"	90	9.48683298050514	88.0965956259415	0	38.0354959881231	37.2847406804532	89.4595811676559	0	42.3473244833942	26.9241385479124
"47"	85	9.21954445729289	86.4644195233494	0	37.6615507507424	36.5621951547053	85.5409423730288	0	42.0394420845531	26.3811508565164
"48"	80	8.94427190999916	80.4839664979885	0	35.6910324499362	35.2118514432897	78.0238244135003	0	40.6135245707625	25.3527008657299
"49"	75	8.66025403784439	75.0464147021121	0	36.2919363439642	34.1947076872128	73.4414364338109	0	40.2398458590565	24.6331670194458
"50"	71	8.42614977317636	70.2356699023948	0	35.539450933858	33.3857209402161	70.1620306210947	0	37.6373122086864	24.0074172150413
"51"	67	8.18535277187245	66.5033358286263	0	32.896844110006	32.3881784334162	66.6985909740022	0	36.6963519399521	23.2690283064826
"52"	63	7.93725393319377	64.7193496996445	0	32.8133455873961	31.2718817282333	63.0336507346974	0	35.3114471552894	22.5169179658307
"53"	59	7.68114574786861	59.3670169871884	0	30.8730691963034	30.3726144528952	59.2416425463787	0	35.3524158786001	21.901665464881
"54"	56	7.48331477354788	56.6288382937659	0	30.1160707599051	29.5408853222057	55.9367624111045	0	32.9379696845778	21.2907390005709
"55"	53	7.28010988928052	54.5555804189319	0	29.7077124906677	28.7887555229674	52.6115568180003	0	32.688885424338	20.6947091720766
"56"	50	7.07106781186548	50.2941896195814	0	29.3035083977592	27.8828292195039	50.2088162645169	0	32.1097642697924	20.1831280448491
"57"	47	6.85565460040104	46.2405285515175	0	28.1707991700824	27.1004661356053	45.9130905113164	0	30.7756240443043	19.5004164601367
"58"	44	6.6332495807108	44.1787574014597	0	27.3694612339221	26.1911464048466	45.3714991953447	1	30.4273324342974	18.8108617790585
"59"	41	6.40312423743285	41.1477341308416	0	26.6011520139616	25.4178347393663	40.4649881498512	0	28.6124231989439	18.2504087876148
"60"	38	6.16441400296898	38.324032428647	0	25.2437042689344	24.3482247749437	38.772566685511	0	28.2313091471529	17.4779514257856
"61"	36	6	34.8584178827394	0	25.4015667974334	23.6333444520159	35.1445919367113	0	27.3441797200356	17.0656848891894
"62"	34	5.8309518948453	34.1298745857299	0	24.0422600346331	22.9925795567965	34.9620080751441	1	25.8411669449089	16.5327716676106
